Reference Number,Title of referral,Notification from EPBC Act,Date of notice,PDF Attachments,Non PDF Attachments,Download,Download Folder,PDFs Combined
2021/8937,"Gunyar Pty Limited/Commercial Development/, CSIRO Forestry Precinct, Banks Street, Yarralumla/Australian Capital Territory/Forestry Place Redevelopment of CSIRO Yarralumla, Block 7 Section 4 Yarralumla, ACT",Decision whether action needs approval/Approval Required,17/06/2021,Yes,No,Success,20218937_17062021_gpl_dwanaar,Yes
2018/8384,"AGRIMIN LIMITED/Mining/Mining tenements; Lake Mackay/Western Australia/Lake Mackay Sulphate of Potash Project, WA",Notification of Variation to Proposal,17/06/2021,Yes,No,Success,20188384_17062021_al_novtp,Yes
2021/8937,"Gunyar Pty Limited/Commercial Development/, CSIRO Forestry Precinct, Banks Street, Yarralumla/Australian Capital Territory/Forestry Place Redevelopment of CSIRO Yarralumla, Block 7 Section 4 Yarralumla, ACT",Decision on Assessment Approach: Preliminary Documentation,17/06/2021,Yes,No,Success,20218937_17062021_gpl_doaapd,Yes
2021/8920,"Yancoal Australia Ltd/Mining/Dysart Middlemount Road, Middlemount/Queensland/Middlemount Coal Mine - Southern Open Cut Extension Project, QLD",Decision whether action needs approval/Approval Required,17/06/2021,Yes,No,Success,20218920_17062021_yal_dwanaar,Yes
2021/8975,"Osprey Property Pty Ltd/Residential Development/between Hunt Road and Rossetta Road, Burpengary/Queensland/Hunt Road, Burpengary - Residential Development",Invitation for Public Comment on Referral,16/06/2021,Yes,No,Success,20218975_16062021_oppl_ifpcor,Yes
2020/8849,"Lendlease Communities (Shoreline) Pty Ltd/Waste Management (sewerage)/Longland Road to Serpentine Creek Road, Redland Bay/Queensland/Southern Redland Bay Wastewater Treatment Plant",Suspension of Referral Decision Timeframe Period,16/06/2021,Yes,No,Success,20208849_16062021_lcspl_sordtp,Yes
2021/8973,"Metka EGN Australia Pty Ltd/Energy Generation and Supply (renewable)/17235 Dawson Highway, Banana/Queensland/Moura Solar Farm",Invitation for Public Comment on Referral,16/06/2021,Yes,No,Success,20218973_16062021_meapl_ifpcor,Yes
2021/8891,"NW Interconnected Power Pty Ltd/Energy Generation and Supply (renewable)/After Mandora Road on Great Northern Highway, Eighty Mile Beach/Western Australia/Asian Renewable Energy Hub Revised Proposal, WA",Statement of Reasons: Decision under section 74B,15/06/2021,Yes,No,Success,20218891_15062021_nippl_sordus7,Yes
2019/8563,DEPARTMENT OF TRANSPORT/Transport - Land/near Pakenham/Victoria/Gippsland Rail Line Upgrade - Pakenham to Longwarry East,Final recommendation report completed,15/06/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2021/8971,WESTERN AREAS LIMITED/Mining/Forrestania/Western Australia/New Morning Underground Nickel Deposit Project,Invitation for Public Comment on Referral,15/06/2021,Yes,No,Success,20218971_15062021_wal_ifpcor,Yes
2021/8891,"NW Interconnected Power Pty Ltd/Energy Generation and Supply (renewable)/After Mandora Road on Great Northern Highway, Eighty Mile Beach/Western Australia/Asian Renewable Energy Hub Revised Proposal, WA",Decision on referral/clearly unacceptable,15/06/2021,Yes,No,Success,20218891_15062021_nippl_dorcu,Yes
2021/8965,"CAPITAL PLUS 1 WOODBURY RIDGE PTY LTD/Residential Development/adjacent to Sutton Road and Federal Highway, Sutton/New South Wales/Woodbury Ridge Estate, Sutton",Invitation for Public Comment on Referral,15/06/2021,Yes,No,Success,20218965_15062021_cp1wrpl_ifpcor,Yes
2021/8968,"Stevens Holdings Pty Ltd/Residential Development/414 Old Maitland Rd, Mardi/New South Wales/414 Old Maitland Road Residential Subdivision",Invitation for Public Comment on Referral,15/06/2021,Yes,No,Success,20218968_15062021_shpl_ifpcor,Yes
2019/8516,"WEIYA DEVELOPMENT PTY LIMITED/Residential Development/Lot 801 on SP157194, Lot 1 and Lot 2 on RP22251/Queensland/Residential Development, Collingwood Park, Ipswich, Qld",Notification of Publication of Final Preliminary Documentation,14/06/2021,Yes,No,Success,20198516_14062021_wdpl_nopofpd,Yes
2019/8425,"AGL ENERGY LIMITED/Energy Generation and Supply (non-renewable)/Lots 2 and 3 DP 1043561, Lot 4 DP 1043561, Lots 1203 and 1202 DP 1229590 and Lot 202 DP 1173564/New South Wales/Newcastle Power Station Project, Tomago, NSW",Assessment Process Notice: Extension of time in which to make a decision whether to approve a controlled action,11/06/2021,Yes,No,Success,20198425_11062021_ael_apneotiwtmadwtaaca,Yes
2021/8919,"South Australian Water Corporation/Water Management and Use/, Playford Highway; Arronmore Rd; How Bay Rd, and Charing Cross Rd/South Australia/KI Water Pipeline Project, SA",Decision whether action needs approval/Approval Not Required,10/06/2021,Yes,No,Success,20218919_10062021_sawc_dwanaanr,Yes
2021/8955,Polaris Metals Pty Ltd/Mining/Parker Range Iron Ore Mine to Koolyanobbing Operations/Western Australia/Parker Range Mt Caudan Iron Ore Haul Road Proposal,Invitation for Public Comment on Referral,10/06/2021,Yes,No,Success,20218955_10062021_pmpl_ifpcor,Yes
2021/8946,"Gold Coast Hospital and Health Service/Science and Research/41 George Alexander Way, Coomera/Queensland/Coomera Hospital and Health Precinct",Invitation for Public Comment on Referral,10/06/2021,Yes,No,Success,20218946_10062021_gchahs_ifpcor,Yes
2021/8967,"Main Roads Western Australia/Transport - Land/Yardie Creek Rd, Shire of Exmouth/Western Australia/Yardie Creek Road Realignment Project",Invitation for Public Comment on Referral,10/06/2021,Yes,No,Success,20218967_10062021_mrwa_ifpcor,Yes
2021/8972,"Crookwell 3 Development Pty Ltd/Energy Generation and Supply (renewable)/794 Woodhouselee Road, Woodhouselee/New South Wales/Crookwell 3 Wind Farm",Invitation for Public Comment on Referral,10/06/2021,Yes,No,Success,20218972_10062021_c3dpl_ifpcor,Yes
2019/8529,"MAIN ROADS/Transport - Land/Hale Road, Forrestfield and Welshpool Road, Wattle Grove/Western Australia/Tonkin Highway Grade Separated Interchanges",Notification of Publication of Final Preliminary Documentation,10/06/2021,Yes,No,Success,20198529_10062021_mr_nopofpd,Yes
2021/8939,"Ledge Pty Ltd/Residential Development/Batesford, Moorabool and Bell Post Hill, Geelong West/Victoria/Creamery Road PSP Area Geelong West Property Development",Invitation for Public Comment on Referral,9/06/2021,Yes,No,Success,20218939_09062021_lpl_ifpcor,Yes
2021/8943,"Department of Transport/Transport - Land/VicTrack Rail Reserve, McGregor Road, Main Street and Racecourse Road Level crossing, Pakenham/Victoria/Pakenham Level Crossing Removal Project",Decision whether action needs approval/Approval Not Required,9/06/2021,Yes,No,Success,20218943_09062021_dot_dwanaanr,Yes
2021/8936,"Water Corporation/Water Management and Use/Road reserve in the Shire of Collie/Western Australia/Water Corporation, Storage and Pipeline, Collie, WA",Decision whether action needs approval/Approval Not Required,9/06/2021,Yes,No,Success,20218936_09062021_wc_dwanaanr,Yes
2019/8530,"HOLCIM (AUSTRALIA) PTY LTD/Mining/75 Potters Road, Ondit, VIC, 3249/Victoria/Holcim Colac Quarry Expansion- Stage 5 and Stage 6",Decision on approval of action: Approved with conditions,9/06/2021,Yes,No,Success,20198530_09062021_hapl_doaoaawc,Yes
2001/422,"BURNETT WATER PTY LTD/Water Management and Use/Burnett River, Paradise/Queensland/Water Storage Reservoir",Correction notification,9/06/2021,Yes,No,Success,2001422_09062021_bwpl_cn,Yes
2021/8952,"Nanshan Holdings (Aust) Pty Ltd/Tourism and Recreation/74 O'Briens Road, Cattai/New South Wales/Riverside Oaks Tourist Resort O'Briens Rd Cattai",Invitation for Public Comment on Referral,9/06/2021,Yes,No,Success,20218952_09062021_nhapl_ifpcor,Yes
2018/8260,"WESTERN REGION WATER CORPORATION/Water Management and Use/Plan CP104323, Lot 20 LP5327, Allot. 19 Sec. A PARISH OF MOORADORANOOK, Lot 1 TP745347,/Victoria/Parwan to Melton Pipeline, VIC",Correction notification,9/06/2021,Yes,No,Success,20188260_09062021_wrwc_cn,Yes
2010/5642,"RTA WEIPA PTY LTD/Mining/south of the Embley River, western Cape York Peninsula/Queensland/South of the Embley Bauxite Mining Project",Notification of Variation to Approval,9/06/2021,Yes,No,Success,20105642_09062021_rwpl_novta,Yes
2020/8702,"Wollongong Coal Limited/Mining/7 Princes Hwy, Corrimal/New South Wales/Russell Vale Colliery Revised Underground Expansion Project",Assessment Process Notice: Extension of time in which to make a decision whether to approve a controlled action,9/06/2021,Yes,No,Success,20208702_09062021_wcl_apneotiwtmadwtaaca,Yes
2015/7625,"Belmont Sands Pty Ltd*/Mining/Approx 20km north-west of Rockhampton, Qld/Queensland/Belmont Sands sand extractive project, Etna Creek, Qld",Notification of Variation to Proposal,8/06/2021,Yes,No,Success,20157625_08062021_bspl_novtp,Yes
2021/8932,"Department of the Chief Minister and Cabinet/Energy Generation and Supply (renewable)/, Jabiru township, Kakadu, 250km south-east of Darwin/Northern Territory/Jabiru Hybrid Power Station Project, NT",Decision whether action needs approval/Approval Not Required - particular manner,8/06/2021,Yes,No,Success,20218932_08062021_dotcmac_dwanaanrpm,Yes
2021/8914,"Santos TOGA Pty Ltd/Energy Generation and Supply (non-renewable)/Injune Road, Baroondah/Queensland/Fairview Water Release Scheme, 50km east of Injune, QLD",Suspension of Referral Decision Timeframe Period,8/06/2021,Yes,No,Success,20218914_08062021_stpl_sordtp,Yes
2021/8966,VIC Offshore Windfarm Pty Ltd/Energy Generation and Supply (renewable)/5.5km off the coast of Portland/Victoria/VIC Offshore Windfarm,Invitation for Public Comment on Referral,7/06/2021,Yes,No,Success,20218966_07062021_vowpl_ifpcor,Yes
2021/8969,"Byron Shire Council/Waste Management (sewerage)/45 Wallum Place, Byron Bay/New South Wales/Byron Shire Bioenergy Facility",Invitation for Public Comment on Referral,7/06/2021,Yes,No,Success,20218969_07062021_bsc_ifpcor,Yes
2021/8963,"Western Region Water Corporation/Water Management and Use/Nerowie Road, Parwan/Victoria/Parwan-Balliang Irrigation District Recycled Water Supply Infrastructure",Invitation for Public Comment on Referral,7/06/2021,Yes,No,Success,20218963_07062021_wrwc_ifpcor,Yes
2021/8909,"MMG Australia Limited/Mining/1km west of Rosebery, Pieman Road, West Coast/Tasmania/South Marionoak Tailings Storage Facility, Rosebery, TAS",Suspension of Referral Decision Timeframe Period,4/06/2021,Yes,No,Success,20218909_04062021_mal_sordtp,Yes
2020/8800,"Main Roads Western Australia/Transport - Land/Bussell Highway, from 950 m west of Hutton Road to 450 m west of the Sabina River bridge/Western Australia/Bussell Highway Duplication Hutton to Sabina",Final recommendation report completed,3/06/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2021/8933,"QUBE WATTLEUP DEVELOPMENT PTY LTD/Residential Development/387 Wattleup Road, Hammond Park/Western Australia/Residential Development, Wattleup Road, Hammond Park, WA",Decision whether action needs approval/Approval Required,3/06/2021,Yes,No,Success,20218933_03062021_qwdpl_dwanaar,Yes
2020/8687,"Sydney Metro/Transport - Land/South Western Sydney/New South Wales/Sydney Metro, Western Sydney Airport - St Marys to Elizabeth Drive",Decision on approval of action: Approved with conditions,3/06/2021,Yes,No,Success,20208687_03062021_sm_doaoaawc,Yes
2021/8932,"Department of the Chief Minister and Cabinet/Energy Generation and Supply (renewable)/Jabiru township, Kakadu, 250km south-east of Darwin/Northern Territory/Jabiru Hybrid Power Station Project, NT",Suspension of Referral Decision Timeframe Period,3/06/2021,Yes,No,Success,20218932_03062021_dotcmac_sordtp,Yes
2021/8933,"QUBE WATTLEUP DEVELOPMENT PTY LTD/Residential Development/387 Wattleup Road, Hammond Park/Western Australia/Residential Development, Wattleup Road, Hammond Park, WA",Decision on Assessment Approach: Preliminary Documentation,3/06/2021,Yes,No,Success,20218933_03062021_qwdpl_doaapd,Yes
2018/8286,"Transport for NSW/Transport - Land/M7 Motorway, Cecil Hills / Luddenham, NSW, 2171/New South Wales/M12 Motorway Project, Luddenham, NSW",Decision on approval of action: Approved with conditions,3/06/2021,Yes,No,Success,20188286_03062021_tfn_doaoaawc,Yes
2020/8800,"Main Roads Western Australia/Transport - Land/Bussell Highway, from 950 m west of Hutton Road to 450 m west of the Sabina River bridge/Western Australia/Bussell Highway Duplication Hutton to Sabina",Assessment Process Notice: Extension of time in which to make a decision whether to approve a controlled action,2/06/2021,Yes,No,Success,20208800_02062021_mrwa_apneotiwtmadwtaaca,Yes
2021/8916,"Epuron Projects Pty Ltd/Energy Generation and Supply (renewable)/Hill End Road and Yarrabin Road, Yarrabin/New South Wales/Burrendong Wind Farm",Decision whether action needs approval/Approval Required,2/06/2021,Yes,No,Success,20218916_02062021_eppl_dwanaar,Yes
2021/8916,"Epuron Projects Pty Ltd/Energy Generation and Supply (renewable)/Hill End Road and Yarrabin Road, Yarrabin/New South Wales/Burrendong Wind Farm",Decision on Assessment Approach: Not Applicable; Bilateral Agreement Applies,2/06/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2013/7098,"JONES THEATRE UNIT TRUST/Residential Development/Busselton/Western Australia/Residential development Lot 3, 500 Bussell Highway, WA",Notification of Transfer of Approval to Fresh Fields Management (WA) No. 4 Pty Ltd,2/06/2021,Yes,No,Success,20137098_02062021_jtut_notoatffmwn4pl,Yes
2021/8928,"La Tierra Pty Limited/Private/Lake Maraboon, near Emerald/Queensland/Lake Maraboon Soil Salvage Project",Decision whether action needs approval/Approval Not Required,2/06/2021,Yes,No,Success,20218928_02062021_ltpl_dwanaanr,Yes
2021/8954,"Department of Environment and Science/Tourism and Recreation/Cooloola Great Walk, Cooloola/Queensland/Cooloola Great Walk Ecotourism Project, QLD",Invitation for Public Comment on Referral,1/06/2021,Yes,No,Success,20218954_01062021_doeas_ifpcor,Yes
2021/8923,"ROBE RIVER MINING CO. PTY. LTD/Mining/Great Northern Highway, Newman/Western Australia/Iron ore mine expansion, West Angelas Revised Project",Decision on Assessment Approach: Accredited Assessment Process,1/06/2021,Yes,No,Success,20218923_01062021_rrmcpl_doaaaap,Yes
2021/8934,"Valecave Pty Limited/Commercial Development/272-276 Rex Road, Campbellfield/Victoria/Industrial Facility - 276 Rex Road, Campbellfield, VIC",Invitation for Public Comment on Referral,1/06/2021,Yes,No,Success,20218934_01062021_vpl_ifpcor,Yes
2020/8637,"Sealark Pty Ltd/Residential Development/Multiple lots, Callala Bay/New South Wales/Callala Bay Residential Development",Decision on approval of action: Approved with conditions,1/06/2021,Yes,No,Success,20208637_01062021_spl_doaoaawc,Yes
2018/8290,"Lehr Consultants International (Australia) Pty Ltd/Commercial Development/Lot 2 DP229466/New South Wales/Service centre, 6 Honeman Close, Huntingwood, NSW",Decision on approval of action: Approved with conditions,1/06/2021,Yes,No,Success,20188290_01062021_lciapl_doaoaawc,Yes
2021/8930,"ANSCAPE PTY LIMITED/Residential Development/Havenna Road, Turtle Cove/Queensland/Turtlecove Haven Retirement Village 2, Qld",Invitation for Public Comment on Referral,1/06/2021,Yes,No,Success,20218930_01062021_apl_ifpcor,Yes
2021/8953,"Leigh Creek Energy Operations Pty Ltd/Energy Generation and Supply (non-renewable)/Leigh Creek/South Australia/Leigh Creek Energy Stage 1 Commercial Development, SA",Invitation for Public Comment on Referral,1/06/2021,Yes,No,Success,20218953_01062021_lceopl_ifpcor,Yes
2021/8961,WA Offshore Windfarm Pty Ltd/Energy Generation and Supply (renewable)/5.5 km off the coast between Preston Beach and Myalup/Western Australia/WA Offshore Windfarm,Invitation for Public Comment on Referral,1/06/2021,Yes,No,Success,20218961_01062021_wowpl_ifpcor,Yes
2020/8837,Rye Park Renewable Energy Pty Ltd/Energy Generation and Supply (renewable)/near Yass/New South Wales/Rye Park Wind Farm,Decision on approval of action: Approved with conditions,1/06/2021,Yes,No,Success,20208837_01062021_rprepl_doaoaawc,Yes
2021/8956,"Origin Energy Eraring Pty LTD/Energy Generation and Supply (renewable)/Rocky Point Rd and Switchyard Rd, Eraring/New South Wales/Eraring Battery Energy Storage System, NSW",Invitation for Public Comment on Referral,1/06/2021,Yes,No,Success,20218956_01062021_oeepl_ifpcor,Yes
2021/8923,"ROBE RIVER MINING CO. PTY. LTD/Mining/Great Northern Highway, Newman/Western Australia/Iron ore mine expansion, West Angelas Revised Project",Decision whether action needs approval/Approval Required,1/06/2021,Yes,No,Success,20218923_01062021_rrmcpl_dwanaar,Yes
2021/8875,"Boggabri Coal Pty Limited/Mining/Leards Forest Road, 15 km north east Boggabri, Boggabri/New South Wales/Boggabri Coal Mine SSD 09_0182 Modification 8",Decision whether action needs approval/Approval Required,28/05/2021,Yes,No,Success,20218875_28052021_bcpl_dwanaar,Yes
2021/8901,"Hanwha Energy Australia Pty Ltd/Energy Generation and Supply (renewable)/Urana and Walla Walla Jindera Rd, Jindera/New South Wales/Jindera Solar Farm, NSW",Decision whether action needs approval/Approval Not Required,28/05/2021,Yes,No,Success,20218901_28052021_heapl_dwanaanr,Yes
2021/8875,"Boggabri Coal Pty Limited/Mining/Leards Forest Road, 15 km north east Boggabri, Boggabri/New South Wales/Boggabri Coal Mine SSD 09_0182 Modification 8",Decision on Assessment Approach: Not Applicable; Bilateral Agreement Applies,28/05/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2016/7649,"Vickery Coal Pty Ltd/Mining/approx. 25km north of Gunnedah and 10km east of Boggabri/New South Wales/Vickery Coal Mine Extension Project, Gunnedah, NSW",Assessment Process Notice: Extension of time in which to make a decision whether to approve a controlled action,28/05/2021,Yes,No,Success,20167649_28052021_vcpl_apneotiwtmadwtaaca,Yes
2021/8924,"Department of Infrastructure, Transport, Regional Development and Communications (DITRDC)/Commonwealth Development/Jalan Pantai, Flying Fish Cove/Christmas Island/Flying Fish Cove Christmas Island Boat Ramp Maintenance",Decision whether action needs approval/Approval Not Required,28/05/2021,Yes,No,Success,20218924_28052021_doitrdacd_dwanaanr,Yes
2021/8931,"See Developments Pty Ltd/Mining/Peachey Rd, Luscombe/Queensland/Peachey Road Quarry - Vegetation Clearing - Luscombe, QLD",Decision whether action needs approval/Approval Not Required,28/05/2021,Yes,No,Success,20218931_28052021_sdpl_dwanaanr,Yes
2020/8692,Queensland Department of Transport and Main Roads/Transport - Water/Road Reserve and Unallocated State Land/Queensland/Yorkeys Knob Boating Infrastructure Project,Final recommendation report completed,28/05/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2019/8408,"Orchard Development Management Pty Ltd/Residential Development/Lot 30 on SP309195, South Maclean, Qld/Queensland/Residential Development (Lot30, SP309195) Mountain Ridge Rd, South Maclean, Qld",Notification of Transfer of Approval to Daleford Property Pty Ltd,27/05/2021,Yes,No,Success,20198408_27052021_odmpl_notoatdppl,Yes
2020/8851,"Santos CSG Pty Ltd/Energy Generation and Supply (non-renewable)/50 km north of Injune, Towrie/Queensland/Towrie Gas Development",Notification of Proposal Withdrawn,27/05/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2020/8828,"Landcom/Transport - Land/Samantha Riley Drive, Kellyville/New South Wales/Kellyville Precinct",Decision on Assessment Approach: Referral Information,27/05/2021,Yes,No,Success,20208828_27052021_l_doaari,Yes
2021/8921,"THE ANGLICAN SCHOOLS COMMISSION INCORPORATED/Private/between Elizabeth Mitchell Drive and O'Keefe Street, Thurgoona/New South Wales/Trinity Anglican College, Thurgoona Junior School Expansion, NSW",Decision on Assessment Approach: Not Applicable; Bilateral Agreement Applies,27/05/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2017/8066,"Peet Stratton Pty Ltd/Residential Development/Lot 102 Farrall Road, Stratton/Western Australia/Residential development and conservation, Lot 102 Farrall Road, Stratton, WA",Assessment Process Notice: Extension of time in which to make a decision whether to approve a controlled action,27/05/2021,Yes,No,Success,20178066_27052021_pspl_apneotiwtmadwtaaca,Yes
2020/8828,"Landcom/Transport - Land/Samantha Riley Drive, Kellyville/New South Wales/Kellyville Precinct",Decision whether action needs approval/Approval Required,27/05/2021,Yes,No,Success,20208828_27052021_l_dwanaar,Yes
2019/8574,Australian War Memorial/Commonwealth/Campbell/Australian Capital Territory/Australian War Memorial Redevelopment,Notification of Variation to Approval,27/05/2021,Yes,No,Success,20198574_27052021_awm_novta,Yes
2021/8921,"THE ANGLICAN SCHOOLS COMMISSION INCORPORATED/Private/between Elizabeth Mitchell Drive and O'Keefe Street, Thurgoona/New South Wales/Trinity Anglican College, Thurgoona Junior School Expansion, NSW",Decision whether action needs approval/Approval Required,27/05/2021,Yes,No,Success,20218921_27052021_tasci_dwanaar,Yes
2021/8925,"Besen Gertrude Pty Ltd/Commercial Development/Gertrude St, Fitzroy/Victoria/Mixed use development, 1-9 Gertrude Street Fitzroy",Notification of Proposal Withdrawn,27/05/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2019/8413,"STANMORE IP SOUTH PTY LTD/Mining/Off Peak Downs Highway, Moranbah, QLD, 4777/Queensland/Isaac Downs coal mine project, near Moranbah, Qld",Decision on approval of action: Approved with conditions,26/05/2021,Yes,No,Success,20198413_26052021_sispl_doaoaawc,Yes
2020/8717,"Shark Bay Resources/Mining/Refer to Sections 1.1 and 2.2 of the attached DEIA, and Question 1.5./Western Australia/Shark Bay Resources Dredging",Decision whether action needs approval/Approval Required,26/05/2021,Yes,No,Success,20208717_26052021_sbr_dwanaar,Yes
2017/8135,"Chris Angelkov/Residential Development/Lot 21 on Plan 14266; Lot 100 on Deposited Plan 400603/Western Australia/Residential development, Lots 21 and 100 Southern Estuary Road, Herron, WA",Notification of Proposal Withdrawn,26/05/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2020/8717,"Shark Bay Resources/Mining/Refer to Sections 1.1 and 2.2 of the attached DEIA, and Question 1.5./Western Australia/Shark Bay Resources Dredging",Decision on Assessment Approach: Preliminary Documentation,26/05/2021,Yes,No,Success,20208717_26052021_sbr_doaapd,Yes
2021/8929,"Huntly Common Pty Ltd/Mining/Leans Road, Huntly/Victoria/Bendigo Creek Reclamation and Rehabilitation Project",Decision whether action needs approval/Approval Required,25/05/2021,Yes,No,Success,20218929_25052021_hcpl_dwanaar,Yes
2021/8902,"Rawling Road Pty Ltd/Commercial Development/South Western Highway, Davenport/Western Australia/VV Walsh Cold Stores Expansion",Decision on Assessment Approach: Not Applicable; Bilateral Agreement Applies,25/05/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2021/8942,"Gascoyne Gateway Ltd/Transport - Water/10 km south of Exmouth/Western Australia/Single Jetty Deep Water Port Renewable Hub, WA",Invitation for Public Comment on Referral,25/05/2021,Yes,No,Success,20218942_25052021_ggl_ifpcor,Yes
2012/6328,"PROJECT 28 PTY LTD/Residential Development/20km south of the Queensland border, 4km from Kingscliff/New South Wales/Kings Forest Residential Development",Notification of Variation to Approval,25/05/2021,Yes,No,Success,20126328_25052021_p2pl_novta,Yes
2019/8549,FUTURA RESOURCES LIMITED/Mining/Bowen Basin/Queensland/Fairhill Coal Project,Decision on approval of action: Approved with conditions,25/05/2021,Yes,No,Success,20198549_25052021_frl_doaoaawc,Yes
2021/8929,"Huntly Common Pty Ltd/Mining/Leans Road, Huntly/Victoria/Bendigo Creek Reclamation and Rehabilitation Project",Decision on Assessment Approach: Not Applicable; Bilateral Agreement Applies,25/05/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2018/8299,"ROBE RIVER MINING CO. PTY. LTD./Mining/The Proposed Action is within (ML) 248SA pursuant to the Iron Ore Robe River Agreement Act 1964 (WA)/Western Australia/West Angelas Iron Ore Mine Deposits C, D and G, Pilbara, WA",Notification of Variation to Approval,25/05/2021,Yes,No,Success,20188299_25052021_rrmcpl_novta,Yes
2019/8549,FUTURA RESOURCES LIMITED/Mining/Bowen Basin/Queensland/Fairhill Coal Project,Final recommendation report completed,25/05/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2019/8449,"City Renewal Authority/Residential Development/ Section 63 City, Canberra /Australian Capital Territory/City Hill Section 63 Redevelopment Project, ACT",Notification of Publication of Preliminary Documentation: Invitation to Comment,24/05/2021,Yes,No,Success,20198449_24052021_cra_nopopditc,Yes
2021/8950,"National Capital Authority/Commonwealth/Parkes Pl W, Canberra/Australian Capital Territory/Replacement of poplars at the National Library of Australia Forecourt, ACT",Invitation for Public Comment on Referral,24/05/2021,Yes,No,Success,20218950_24052021_nca_ifpcor,Yes
2021/8944,"City of Albany/Commercial Development/Down Road, Drome, City of Albany/Western Australia/Albany Motorsport Park, 20kms Northwest Albany, WA",Invitation for Public Comment on Referral,24/05/2021,Yes,No,Success,20218944_24052021_coa_ifpcor,Yes
